Team,Survived,TimeAlive,TravelledDistance,RLethalGrenadesThrown,RNonLethalGrenadesThrown,FirstKillTime,RoundKills,RoundAssists,RoundHeadshots,RoundFlankKills,RoundStartingEquipmentValue,TeamStartingEquipmentValue,MatchKills,MatchAssists,MatchHeadshots,Kills_per_minute,Assist_to_Kill_Ratio,Accuracy,Equipamiento_total,GrenadeActivity
0,0,234,0.4177587175561155,0.6094330214553662,1.2052642174761123,15474,-0.7874367562832917,0.0,-0.5252080787055295,0.0,0.4583520475506917,0.708016871559573,-0.9213155784742808,0.1619875872413246,-0.621756214995506,-0.236234763711354,-0.1758220429850753,0.6748569431824307,1.1663689191102646,1.8146972389314784
1,0,15559,0.6808601906483205,-1.054461378759474,-1.383831600451486,578,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.1744347617436321,-1.2719053738745365,-1.0343435006629729,-1.284746276084129,-0.0049048346572705,0.813223626465315,1.010095799949705,-0.3330599036227184,-2.43829297921096
1,1,16129,0.961106144212656,-1.054461378759474,2.068296156785312,1056,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.1744347617436321,-1.2719053738745365,-1.0343435006629729,-0.9532512455398175,-0.004778812428346181,0.813223626465315,0.7569617817262142,-0.3363905026589456,1.013834778025838
1,0,12611,0.3506858893586801,0.6094330214553662,0.342232278166913,10419,0.651795899432319,0.0,1.4769151562722802,0.0,-0.1586251418790863,-0.1744347617436321,-0.9213155784742808,-1.0343435006629729,-0.621756214995506,-0.0043833902710694,1.1226810061931969,0.6748569431824307,-0.3330599036227184,0.9516652996222792
1,0,5570,-0.69995882273219,-1.054461378759474,-1.383831600451486,0,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.4671137365939754,-0.1744347617436321,-1.4472002715746646,-1.0343435006629729,-1.284746276084129,-0.0155892309325816,0.7147203610855656,0.8877460164419585,-0.6415484983376075,-2.43829297921096
1,0,5158,-0.7101360970287858,0.6094330214553662,-1.383831600451486,0,0.651795899432319,0.0,-0.5252080787055295,0.0,-0.0043808445216418,-0.1744347617436321,-0.9213155784742808,-1.0343435006629729,-0.9532512455398175,-0.0107171257674402,1.1226810061931969,1.03466311415077,-0.1788156062652739,-0.7743985789961197
0,0,15633,0.9218932681552536,0.6094330214553662,1.2052642174761123,4124,2.091028555147929,0.0,1.4769151562722802,0.0,1.07532923698047,0.708016871559573,-0.395430885373897,0.7601531311934734,-0.2902611844511945,-0.0015176775489307,-1.9223413226175183,0.734037717303594,1.783346108540043,1.8146972389314784
0,0,11822,-0.1095302686539251,0.6094330214553662,0.342232278166913,17883,-0.7874367562832917,0.0,-0.5252080787055295,0.0,0.4583520475506917,0.708016871559573,-0.7460206807741528,0.1619875872413246,-0.621756214995506,-0.0037862663548003,-0.2171355183789657,0.8334302667726364,1.1663689191102646,0.9516652996222792
0,1,16129,0.5710714055358384,-1.054461378759474,0.342232278166913,10992,0.651795899432319,0.0,1.4769151562722802,0.0,1.07532923698047,0.708016871559573,0.4810436031267425,-1.0343435006629729,0.3727288766374285,0.00180738064042903,-2.1502073698513566,0.7825822086747848,1.8011795696254436,-0.7122291005925612
0,1,16129,-1.6262768161144023,0.6094330214553662,1.2052642174761123,15474,-0.7874367562832917,0.0,-0.5252080787055295,0.0,1.07532923698047,0.708016871559573,-0.9213155784742808,0.1619875872413246,-0.621756214995506,-0.003461573814591159,-0.1758220429850753,0.6816055126142551,1.8011795696254436,1.8146972389314784
1,0,13731,0.4109808809215516,-1.054461378759474,1.2052642174761123,1056,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-1.6239459667748093,-0.9766635192920006,-1.2719053738745365,-1.0343435006629729,-0.9532512455398175,-0.0055578124268059,0.813223626465315,0.749467110620014,-2.60060948606681,0.1508028387166382
1,0,11906,-1.4970029049415394,-1.054461378759474,-1.383831600451486,10419,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.9766635192920006,-0.9213155784742808,-1.0343435006629729,-0.621756214995506,-0.0046429476489548,1.1226810061931969,0.6748569431824307,-1.1352886611710868,-2.43829297921096
1,1,14744,0.1666754475373703,-1.054461378759474,1.2052642174761123,7534,0.651795899432319,0.0,-0.5252080787055295,0.0,-1.7010681154535316,-0.9766635192920006,-1.2719053738745365,-1.0343435006629729,-1.284746276084129,-0.005227717421106598,0.813223626465315,1.0201967579492022,-2.7045089510929876,0.1508028387166382
1,0,8115,-0.315200377675941,0.6094330214553662,-1.383831600451486,0,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.9766635192920006,-0.9213155784742808,-1.0343435006629729,-0.9532512455398175,-0.0068119451273514,1.1226810061931969,1.03466311415077,-1.1352886611710868,-0.7743985789961197
0,1,14744,0.3045846932439653,0.6094330214553662,1.2052642174761123,7957,0.651795899432319,0.0,-0.5252080787055295,0.0,0.4583520475506917,1.389911315475686,0.3057487054266146,0.7601531311934734,1.0357189377260516,0.001256671971571634,2.4862022886828687,3.4213591375430696,1.8667459966566413,1.8146972389314784
0,1,14744,0.3452846797322227,-1.054461378759474,-0.5207996611422865,11816,0.651795899432319,0.0,-0.5252080787055295,0.0,1.07532923698047,1.389911315475686,0.6563385008268704,-1.0343435006629729,0.3727288766374285,0.002697647392166864,-1.575929949804686,0.5735701393862079,2.4898929579807176,-1.5752610399017606
0,1,10646,-0.2162021786775666,0.6094330214553662,1.2052642174761123,8846,2.091028555147929,0.0,1.4769151562722802,0.0,0.4583520475506917,1.256206522550958,0.6563385008268704,0.7601531311934734,1.3672139682703632,0.00373606172741947,1.1581723915872906,2.1039236708091855,1.7317041558026662,1.8146972389314784
